UNIHAKKA	346 206 417 216
INTERNATIONAL	426 206 542 216
SDN	551 206 577 216
BHD	587 206 613 216
22	430 217 442 225
MAR	448 217 465 225
2018	471 217 494 225
18:24	500 217 529 225
(867388-U)	450 229 511 239
12,	365 241 382 251
JALAN	387 241 415 251
TAMPOI	421 241 453 251
7/4,KAWASAN	459 241 520 251
PERINDUSTRIAN	525 241 597 251
TAMPOI,81200	392 253 462 263
JOHOR	468 253 497 263
BAHRU,JOHOR	503 253 567 263
TAX	442 265 462 273
INVOICE	469 265 517 273
INVOICE	334 276 375 284
#	381 276 387 284
:	393 276 399 284
OR18032202170428	404 276 499 284
ITEM	335 293 357 300
QTY	428 291 447 302
TOTAL	601 291 627 299
SR	335 306 347 315
I00100000035-	352 306 430 315
1	436 306 442 315
MEAT	448 306 472 315
+	477 306 484 315
3	489 306 496 315
VEGE	501 306 525 315
$7.10	334 320 364 327
1	428 318 433 328
$7.10	598 318 625 327
SR	334 337 346 346
I00100000064-ADD	352 337 450 346
VEGETABLE	456 337 512 346
$0.50	335 350 363 358
1	427 349 436 358
$0.50	596 348 626 357
TOTAL	522 369 550 378
AMOUNT:	555 369 593 378
$7.60	599 369 626 378
GST	535 381 555 392
@6%:	562 381 588 392
$0.43	595 381 628 392
NETT	540 393 561 401
TOTAL:	566 393 597 401
$7.60	601 393 627 401
PAYMENT	334 410 380 420
MODE	387 410 413 420
AMOUNT	586 409 627 418
CASH	335 424 367 431
$7.60	596 423 626 431
CHANGE	335 436 376 446
$0.00	597 435 625 443
GST	335 465 353 473
SUMMARY	359 465 401 473
AMOUNT($)	486 465 530 473
TAX($)	599 464 628 473
SR	335 477 346 487
-	352 477 358 487
GST	363 477 381 487
@6%	387 477 404 487
7.17	512 477 531 484
0.43	607 478 627 484
GST	411 495 430 504
REG	437 495 457 504
#000656195584	463 495 550 504
BAR	386 507 408 517
WANG	415 507 446 517
RICE@PERMAS	453 507 536 517
JAYA	544 507 574 517
(PRICE	417 518 449 529
INCLUSIVE	454 518 501 529
OF	506 518 517 529
GST)	522 518 543 529
THANK	411 530 441 539
YOU	447 530 465 539
&	471 530 477 539
COME	483 530 507 539
AGAIN!	513 530 550 539
LIKE	392 542 414 551
AND	420 542 437 551
FOLLOW	442 542 475 551
US	481 542 492 551
ON	498 542 509 551
FACEBOOK!	514 542 564 551
FACEBOOK.COM/BARWANGRICE	404 554 556 564

3180303	29 19 213 46
LIAN	248 153 321 176
HING	340 153 413 176
STATIONERY	431 153 613 176
SDN	633 153 688 176
BHD	705 153 760 176
(162761-M)	423 180 584 204
NO.32	214 208 295 229
&	311 208 327 229
33,	344 208 390 229
JALAN	407 208 487 229
SR	504 208 536 229
1/9,	552 208 617 229
SEKSYEN	633 208 744 229
9,	760 208 793 229
TAMAN	315 232 415 254
SERDANG	434 232 575 254
RAYA,	594 232 694 254
43300	213 257 310 282
SERI	327 257 405 282
KEMBANGAN,	424 257 617 282
SELANGOR	636 257 789 282
DARUL	395 285 497 306
EHSAN	516 285 618 306
GST	303 313 361 338
ID	381 313 418 338
:	437 313 457 338
002139201536	476 313 707 338
TAX	405 352 458 377
INVOICE	476 352 602 377
27/03/2018	185 385 342 405
NO	596 382 628 406
:	646 382 662 406
CS-20243	678 382 810 406
QTY	612 436 662 460
TAX	676 436 733 460
RM	796 437 848 460
F/CASTELL	177 462 300 483
187057-	315 462 410 483
75	424 462 452 483
TACK-LT	465 462 562 483
2	634 462 652 483
SR	686 462 733 483
12.00	770 464 848 484
75G-	176 488 237 514
WHITE	252 488 327 514
(NEW)	342 488 418 514
@	434 488 449 514
5.6600	465 488 555 514
TOTAL	205 542 281 568
AMT	297 542 342 568
INCL.	358 542 434 568
GST	449 542 495 568
@	510 542 526 568
6%	541 542 571 568
:	588 542 602 568
12.00	736 542 812 564
ROUNDING	289 582 408 604
ADJUSTMENT	423 582 573 604
:	588 582 602 604
TOTAL	321 618 395 642
AMT	410 618 455 642
PAYABLE	470 618 575 642
:	589 618 604 642
12.00	728 619 810 638
PAID	408 656 468 677
AMOUNT	484 656 573 677
:	589 656 604 677
20.00	733 657 812 677
CHANGE	468 693 568 718
:	586 693 602 718
8.00	749 697 809 716
TOTAL	342 733 415 758
QTY	429 733 471 758
TENDER	486 733 573 758
:	588 733 602 758
2	791 732 810 754
GST	205 790 261 817
SUMMARY	279 790 410 817
AMOUNT	465 789 579 811
TAX	715 789 773 811
(RM)	507 814 576 840
(RM)	699 813 772 838
SR	201 853 240 875
@	260 853 279 875
A	298 853 318 875
11.32	513 851 591 872
0.68	705 851 772 870
TOTAL	200 882 274 902
11.32	513 883 591 902
0.68	709 882 772 901
THANK	390 925 499 946
YOU	520 925 584 946
FOR	256 956 298 974
ANY	313 956 353 974
ENQUIRY,	368 956 479 974
PLEASE	494 956 576 974
CONTACT	591 956 688 974
US:	702 956 744 974

S&Y	322 73 387 94
STATIONERY	410 73 629 94
(002050590-H)	331 97 606 120
NO.36G	172 121 302 146
JALAN	323 121 431 146
BULAN	453 121 560 146
BM	582 121 624 146
U5/BM,	646 121 775 146
BANDAR	217 146 345 171
PINGGIRAN	367 146 560 171
SUBANG,	582 146 731 171
SEKSYEN	349 170 497 192
U5,	518 170 582 192
40150	197 193 303 218
SHAH	325 193 410 218
ALAM,	431 193 537 218
SELANGOR.	559 193 751 218
TEL	93 219 157 245
/	179 219 201 245
FAX	223 219 287 245
:	308 219 330 245
0163307491	352 219 567 245
/	589 219 610 245
0378317491	632 219 847 245
EMAIL:	125 242 258 268
SNYSTATIONERY@HOTMAIL.COM	280 242 832 268
TEL:	175 267 262 292
0163307491	284 267 503 292
/	525 267 546 292
0378317491	568 267 786 292
FAX:	303 292 391 312
0378317491	413 292 632 312
E-MAIL:	108 314 263 340
SNYSTATIONERY@HOTMAIL,.COM	287 314 863 340
(GST	178 340 263 364
REG	285 340 349 364
NO	371 340 414 364
:	435 340 457 364
000906854400)	478 340 757 364
S/P	40 391 107 412
:	130 391 152 412
SALES	175 391 287 412
INV	440 386 506 411
NO	527 386 571 411
:	593 386 614 411
CS-0004323	636 386 853 411
05-JAN-2017	42 415 282 436
03:17:50	304 415 480 436
PM	502 415 545 436
INVOICE	391 462 542 482
NO.DESCRIPTION	44 510 351 530
UOM	846 507 915 528
CODE	46 534 137 552
QTY	370 534 435 554
U/PRICE	457 534 609 554
TOTAL(MYR)	693 532 906 552
1	50 582 69 600
LION	107 581 194 601
FILE	216 581 303 601
6'S	325 581 390 601
SPRING	412 581 542 601
FILE	564 581 651 601
PCS	846 580 914 599
MFF350	43 606 176 625
50	349 605 393 624
1.60	522 606 610 623
80.00	718 603 828 623
SR	866 603 917 622
DISCOUNT	43 629 217 649
@10.00%	239 629 391 649
-8.00	711 629 825 647
ITEM	434 699 519 719
COUNT	541 699 647 719
:	669 699 691 719
50	865 699 911 718
TOTAL	110 723 217 744
SALES	239 723 346 744
INCL.	368 723 476 744
GST	497 723 561 744
@6%	583 723 647 744
:	669 723 691 744
72.00	802 723 912 741
TOTAL	220 748 327 766
AMOUNT	348 748 477 766
PAYABLE	497 748 648 766
:	669 748 691 766
72.00	804 747 911 765
CASH	370 771 455 791
RECEIVED	476 771 647 791
:	668 771 689 791
100.00	780 771 908 790
CHANGE	518 795 644 814
:	666 795 687 814
28.00	800 796 911 813
GST	44 841 110 863
SUMMARY	131 841 284 863
AMOUNT	345 844 473 863
(MYR)	493 844 600 863
TAX	717 841 778 862
(MYR)	798 841 902 862
SR	47 867 91 886
=	112 867 134 886
6%	156 867 200 886
67.92	500 866 608 885
4.08	820 866 912 885
GOODS	43 914 152 932
SOLD	174 914 261 932
ARE	282 914 348 932
NOT	370 914 435 932
RETURNABLE/REFUNDABLE	457 914 912 932

UNIHAKKA	305 191 377 203
INTERNATIONAL	386 191 502 203
SDN	511 191 539 203
BHD	547 191 574 203
16	388 203 400 214
MAY	406 203 424 214
2018	430 203 454 214
18:30	460 203 490 214
(867388-U)	408 215 470 226
12,	323 226 340 237
JALAN	345 226 373 237
TAMPOI	378 226 412 237
7/4,KAWASAN	417 226 478 237
PERINDUSTRIAN	483 226 555 237
TAMPOI,81200	349 238 421 249
JOHOR	426 238 456 249
BAHRU,JOHOR	462 238 528 249
TAX	400 249 421 259
INVOICE	428 249 477 259
INVOICE	291 260 333 270
#	339 260 345 270
:	351 260 357 270
OR18051602160350	363 260 459 270
ITEM	292 278 316 287
SR	293 292 305 302
I00100000060-	312 292 392 302
4	398 292 404 302
VEGE	410 292 434 302
$5.50	292 305 324 315
SR	292 322 304 331
I00100000001-	311 322 391 331
CHICKEN	398 322 441 331
$2.70	292 335 323 345
TOTAL	478 356 506 364
AMOUNT:	512 356 551 364
$8.20	557 356 585 364
GST	492 367 513 377
@6%:	520 367 547 377
$0.46	553 367 587 377
NETT	499 379 520 389
TOTAL:	525 379 556 389
$8.20	561 379 587 389
PAYMENT	292 395 338 406
MODE	345 395 371 406
CASH	292 410 327 419
CHANGE	292 422 335 432
GST	291 450 310 459
SUMMARY	316 450 360 459
SR	291 463 302 472
=	308 463 314 472
GST	320 463 338 472
@6%	343 463 361 472
GST	361 480 382 490
REG	389 480 410 490
#000656195584	417 480 508 490
BAR	340 492 364 503
WANG	371 492 402 503
RICE@PERMAS	410 492 494 503
JAYA	502 492 533 503
(PRICE	373 504 404 515
INCLUSIVE	410 504 458 515
OF	463 504 474 515
GST)	479 504 500 515
THANK	365 515 396 527
YOU	403 515 422 527
&	428 515 434 527
COME	440 515 465 527
AGAIN!	472 515 509 527
LIKE	349 527 371 537
AND	377 527 394 537
FOLLOW	399 527 433 537
US	439 527 450 537
ON	455 527 467 537
FACEBOOK!	472 527 523 537
FACEBOOK.COM/BARWANGRICE	359 539 517 550
QTY	385 278 406 288
TOTAL	557 276 587 286
1	387 305 392 314
$5.50	555 303 585 312
1	387 336 393 345
$2.70	555 334 589 344
AMOUNT	543 395 586 404
$8.20	555 409 585 418
$0.00	554 420 585 431
AMOUNT($)	443 450 490 459
TAX($)	556 450 586 458
7.74	470 464 490 472
0.46	565 463 585 471

PASIR	309 250 362 262
EMAS	372 250 414 262
HARDWARE	425 250 509 262
SDN	519 250 551 262
BHD	561 250 593 262
(801222-M)	415 264 488 274
(GST	362 274 390 284
ID	397 274 411 284
NO	418 274 432 284
:	439 274 446 284
000144596992)	453 274 544 284
NO	358 284 374 294
69,JALAN	381 284 444 294
PENGKALAN	452 284 522 294
